===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-13 20:13:59
count workspace : c:\Users\kowal\Documents\Git\kowax-experiment-legacy
total files : 538
total code lines : 68236
total comment lines : 11524
total blank lines : 2128

.classpath, code is 21, comment is 0, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\ExplorerInterface.html, code is 210, comment is 45, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\HostPlatform.html, code is 313, comment is 54, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\class-use\InputReader.html, code is 196, comment is 39, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\class-use\OutputWriter.html, code is 196, comment is 39, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\class-use\Stdio.html, code is 366, comment is 41, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\InputReader.html, code is 268, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\OutputWriter.html, code is 352, comment is 57, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\package-frame.html, code is 24, comment is 2, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\package-summary.html, code is 127, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\package-tree.html, code is 108, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\package-use.html, code is 227, comment is 42, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\io\Stdio.html, code is 415, comment is 64, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\MacroManager.html, code is 347, comment is 55, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\package-frame.html, code is 42, comment is 2, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\package-summary.html, code is 199, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\kernel\package-tree.html, code is 160, comment is 36, blank is 0.
